Account_No,TRANSACTION_DETAILS,WITHDRAWAL_AMOUNT,DEPOSIT_AMOUNT,BALANCE_AMOUNT,Transaction_Dates
409000493201,BBPS DT 15072018,,3521.67,1168938.06,2023-10-02
409000493201,BBPS DT 17072018,100369.80,,1169250.36,2023-07-28
409000493201,TRF FRM  Indiaforensic SERVICES,,300000.00,1170235.80,2023-11-08
409000425051,NEFT/SBIN916251519257/SHU,,21000.00,987578.60,2022-01-25
409000493201,BBPS DT 15042018,133355.43,,1171953.72,2023-06-13
409000425051,BDP IS 6095,,3000.00,986582.85,2022-05-03
409000611074,INDO GIBL Indiaforensic STL12031,577493.00,,1172544.00,2023-02-20
409000425051,BDP IS 6095,,5000.00,986573.85,2022-06-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1172815.49,2023-01-19
409000493201,BBPS DT 28112008,,260361.75,1172903.20,2022-02-07
409000425051,BDP IS 6095,,5000.00,983582.85,2022-12-19
409000611074,INDO GIBL Indiaforensic STL25051,201000.00,,1173732.00,2023-05-28
409000493201,BBPS SETMNT FOR DT 150120,239083.95,,1174014.04,2023-10-23
409000611074,Indfor INCOME INDO REMI29111,1800.00,,1174461.00,2022-07-11
409000425051,BDP IS 6095,,5000.00,983577.60,2023-06-09
409000425051,BDP IS 6095,,3000.00,981573.85,2022-03-04
409000425051,BDP IS 6095,,3000.00,978582.85,2023-02-08
409000425051,BDP IS 6095,,5000.00,978577.60,2022-09-01
409000611074,INDO GIBL Indiaforensic STL28111,326783.00,,1176261.00,2023-05-28
409000425051,BDP IS 6095,,5000.00,978573.85,2023-01-13
409000425051,BDP IS 6095,,5000.00,975582.85,2023-02-02
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1177639.55,2023-07-01
409000493201,BBPS SETMNT FOR DT 031120,111962.51,,1178071.51,2023-10-26
409000611074,INDO GIBL Indiaforensic STL28121,153500.00,,1178511.00,2023-01-17
409000425051,BDP IS 6095,,5000.00,973577.60,2023-04-11
409000611074,INDO GIBL Indiaforensic STL28091,12106.00,,1178872.00,2022-03-28
409000611074,Indfor INCOME INDO REMI07071,1200.00,,1179559.00,2022-07-01
409000425051,BDP IS 6095,,3000.00,973573.85,2022-04-16
409000425051,BDP IS 6095,,3000.00,970582.85,2022-09-14
409000425051,BDP IS 6095,,5000.00,970573.85,2022-01-13
409000425051,BDP IS 6095,,5000.00,968577.60,2022-09-30
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1179613.02,2022-10-23
409000493201,BBPS DT 12022018,171840.28,,1180060.98,2022-04-05
409000425051,BDP IS 6095,,5000.00,967582.85,2023-12-07
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1180613.78,2023-10-04
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1180680.00,2022-06-01
409000611074,INDO GIBL Indiaforensic STL08071,30700.00,,1180759.00,2023-12-14
409000425051,NEFT/SBIN816249307265/NAR,,12000.00,966578.60,2023-08-15
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1181576.02,2023-08-08
409000493201,BBPS DT 11082018,,53362.07,1181933.83,2023-10-18
409000425051,BDP IS 6095,,3000.00,965573.85,2023-04-19
409000493201,BBPS SETMNT FOR DT 190820,312417.98,,1183165.61,2023-10-21
409000493201,BBPS DT 15112008,,375417.76,1183336.88,2023-02-07
409000611074,INDO GIBL Indiaforensic STL21021,273500.00,,1184819.00,2023-04-18
409000425051,NEFT/SBIN816134469009/Mr,,21000.00,963577.60,2022-10-25
409000493201,BBPS DT 06072018,29872.95,,1187676.58,2023-11-24
409000611074,INDO GIBL Indiaforensic STL25041,414276.00,,1188942.00,2022-05-07
409000425051,BDP IS 6095,,3000.00,962582.85,2022-09-01
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1190450.97,2023-01-14
409000425051,BDP IS 6095,,5000.00,962573.85,2023-01-14
409000611074,INDO GIBL Indiaforensic STL14031,425700.00,,1190620.00,2023-12-06
409000493201,BBPS DT 10052018,82525.95,,1190898.70,2023-01-06
409000611074,INDO GIBL Indiaforensic STL27091,200570.00,,1190978.00,2023-01-07
409000425051,BDP IS 6095,,5000.00,959582.85,2022-06-09
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1191436.80,2022-10-11
409000425051,BDP IS 6095,,3000.00,957573.85,2022-10-29
409000425051,NEFT/SAA38581225/JITENDRA,,7000.00,954582.85,2023-09-11
409000425051,NEFT/UTBIN16249526895/MUN,,1000.00,954578.60,2022-04-03
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1192684.00,2023-09-14
409000493201,BBPS SETMNT FOR DT 290620,66778.43,,1193387.24,2022-09-23
409000493201,BBPS DT 23052018,153131.62,,1194228.60,2022-02-03
409000425051,BDP IS 6095,,5000.00,954573.85,2023-06-06
409000611074,INDO GIBL Indiaforensic STL01061,353500.00,,1194657.00,2022-03-20
409000611074,Indfor INCOME INDO REMI19101,480.00,,1194766.00,2022-04-18
409000611074,Indfor INCOME INDO REMI31011,720.00,,1195051.00,2023-04-17
409000611074,INDO GIBL Indiaforensic STL18101,149802.00,,1195246.00,2022-06-12
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1195771.00,2023-08-01
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1195805.00,2022-06-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1195874.69,2022-05-30
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1197002.00,2023-08-31
409000425051,NEFT/CBINH16247A05058/SEE,,1000.00,953578.60,2022-11-13
409000493201,TRF TO  Indiaforensic SERVICES I,1000000.00,,1197737.65,2023-12-27
409000425051,BDP IS 6095,,2000.00,952578.60,2023-09-27
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1199499.81,2022-07-18
409000611074,Indfor INCOME INDO REMI06101,2280.00,,1199896.00,2022-10-01
409000493201,BBPS DT 04072018,6904.87,,1200351.18,2023-06-24
409000493201,BBPS DT 07072018,,12990.47,1200667.05,2022-05-30
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1201414.00,2023-11-27
409000611074,INDO GIBL Indiaforensic STL28051,364100.00,,1201957.00,2022-12-26
409000611074,INDO GIBL Indiaforensic STL07101,56000.00,,1202176.00,2023-06-03
409000611074,Indfor INCM INDO REVREMI0303,,1320.00,1202734.00,2022-02-12
409000425051,BDP IS 6095,,5000.00,950578.60,2023-03-21
409000493201,BBPS DT 14092018,,125122.85,1203982.01,2022-10-28
409000493201,BBPS DT 01122008,,268923.12,1204061.61,2023-06-20
409000611074,INDO GIBL Indiaforensic STL25081,71080.00,,1204599.00,2022-02-12
409000425051,NEFT/AXISF16318000234/SUM,,8000.00,949573.85,2022-10-21
409000611074,INDO GIBL Indiaforensic STL12021,594328.00,,1206119.00,2023-09-24
409000611074,Indfor INCOME INDO REMI01121,840.00,,1206738.00,2023-05-23
409000425051,BDP IS 6095,,3000.00,947582.85,2023-05-17
409000493201,BBPS DT 03072018,,44892.38,1207256.05,2022-07-04
409000611074,INDO GIBL Indiaforensic STL02121,5000.00,,1207578.00,2023-10-18
409000611074,INDO GIBL Indiaforensic STL19061,689650.00,,1209246.00,2022-07-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,1209823.06,2022-01-28
409000611074,Indfor INCOME INDO REMI21121,2760.00,,1209993.00,2022-11-12
409000611074,Indfor INCOME INDO REMI27101,1200.00,,1210434.00,2022-10-24
409000493201,BBPS DT 16062018,12958.25,,1210518.77,2022-01-22
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1210677.68,2023-09-25
409000611074,INDO GIBL Indiaforensic STL17111,207463.00,,1210718.00,2022-10-19
409000611074,Indfor INCOME INDO REMI04081,1560.00,,1211010.00,2022-08-14
409000611074,Indfor INCOME INDO REMI08071,120.00,,1211459.00,2022-12-20
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1211579.00,2022-06-11
409000611074,INDO GIBL Indiaforensic STL26101,224800.00,,1211634.00,2023-09-23
409000493201,BBPS SETMNT FOR DT 231020,154823.14,,1212454.93,2022-04-05
409000611074,INDO GIBL Indiaforensic STL03081,220801.00,,1212570.00,2023-07-10
409000425051,BDP IS 6095,,5000.00,945578.60,2022-10-21
409000611074,Indfor INCOME INDO REMI02121,120.00,,1212578.00,2022-09-08
409000493201,BBPS DT 31032018,213036.21,,1212687.95,2022-08-04
409000611074,FDRL/INTERNAL FUND TRANSFE,,400000.00,1212698.00,2023-07-05
409000611074,INDO GIBL Indiaforensic STL22121,130600.00,,1212753.00,2022-07-30
409000425051,BDP IS 6095,,5000.00,944582.85,2023-03-06
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1213743.00,2023-05-25
409000611074,INDO GIBL Indiaforensic STL19101,76389.00,,1214521.00,2023-01-04
409000425051,NEFT/SBIN816134053552/KAS,,1000.00,942577.60,2023-08-22
409000611074,Indfor INCOME INDO REMI21091,1800.00,,1214942.00,2023-07-01
409000425051,NEFT/SBIN716133295639/PRA,,1000.00,941577.60,2022-03-24
409000493201,BBPS SETMNT FOR DT 290120,252550.92,,1215181.65,2022-05-05
409000425051,NEFT/CBINH16318A06030/MUN,,8000.00,941573.85,2023-12-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1215809.36,2022-05-05
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1216090.00,2022-10-29
409000425051,NEFT/SBIN516245435372/ROH,,20000.00,940578.60,2023-11-12
409000611074,INDO GIBL Indiaforensic STL20091,503006.00,,1216742.00,2022-10-01
409000493201,BBPS SETMNT FOR DT 061120,150019.78,,1217148.96,2023-11-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,1217228.69,2022-06-17
409000493201,BBPS DT 05072018,,17198.35,1217549.53,2023-02-06
409000425051,NEFT/IBKL160512086896/SUN,,21000.00,940577.60,2023-04-27
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1218696.03,2023-03-28
409000425051,BDP IS 6095,,3000.00,939582.85,2022-01-03
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1219826.00,2022-04-03
409000425051,BDP IS 6095,,5000.00,936582.85,2022-03-19
409000611074,Indfor INCOME INDO REMI19091,2640.00,,1220345.00,2023-04-05
409000611074,Indfor INCOME INDO REMI19121,3120.00,,1220975.00,2022-11-24
409000493201,BBPS SETMNT FOR DT 290720,125092.78,,1221425.21,2023-11-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1221743.44,2023-11-15
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1222819.00,2023-04-02
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1222868.00,2022-06-25
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1222985.00,2022-05-04
409000425051,BDP IS 6095,,3000.00,933573.85,2022-03-22
409000493201,BBPS DT 15062018,30196.44,,1223477.02,2022-08-04
409000611074,FDRL/INTERNAL FUND TRANSFE,,400000.00,1224095.00,2022-12-28
409000425051,NEFT/SBIN816336479938/Mr,,8000.00,931582.85,2023-09-17
409000425051,BDP IS 6095,,5000.00,930573.85,2022-11-11
409000611074,INDO GIBL Indiaforensic STL28081,254584.00,,1225134.00,2023-12-11
409000611074,INDO GIBL Indiaforensic STL28011,299125.00,,1225434.00,2023-02-06
409000425051,BDP IS 6095,,1000.00,925573.85,2023-03-15
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1225724.16,2023-12-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1225787.59,2022-08-01
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1227184.00,2022-07-07
409000611074,INDO GIBL Indiaforensic STL09121,48000.00,,1227553.00,2022-03-04
409000425051,BDP IS 6095,,1000.00,924573.85,2023-06-09
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1227797.07,2022-08-10
409000493201,BBPS SETMNT FOR DT 061220,119401.28,,1228009.39,2022-08-29
409000611074,Indfor INCOME INDO REMI24101,1320.00,,1228398.00,2023-02-07
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1228557.00,2022-03-08
409000425051,BDP IS 6095,,3000.00,923582.85,2023-07-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1228769.45,2022-05-26
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1229120.00,2022-06-12
409000611074,INDO GIBL Indiaforensic STL22121,100300.00,,1229282.00,2022-03-14
409000425051,BDP IS 6095,,3000.00,923573.85,2023-09-03
409000425051,BDP IS 6095,,5000.00,920582.85,2023-06-22
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1229718.00,2022-05-04
409000493201,TRF TO  Indiaforensic SERVICES I,1000000.00,,1230258.18,2023-08-19
409000611074,Indfor INCOME INDO REMI06091,2760.00,,1230930.00,2022-07-11
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1231052.05,2022-05-06
409000425051,NEFT/CBINH16245A00945/RAJ,,1000.00,920578.60,2023-05-30
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1232008.00,2023-07-14
409000493201,TRF FRM  Indiaforensic SERVICES,,500000.00,1232327.52,2023-01-31
409000611074,INDO GIBL Indiaforensic STL09041,305950.00,,1233159.00,2022-04-07
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1233627.16,2023-08-07
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1233690.00,2023-02-10
409000611074,INDO GIBL Indiaforensic STL26061,528175.00,,1234677.00,2022-10-18
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1235788.00,2022-04-03
409000611074,Indfor INCOME INDO REMI15081,1320.00,,1236835.00,2022-10-29
409000425051,BDP IS 6095,,5000.00,920573.85,2022-08-23
409000425051,NEFT/CBINH16245A00904/HAR,,1000.00,919578.60,2022-09-01
409000493201,BBPS SETMNT FOR DT 051020,161169.73,,1237972.26,2023-01-01
409000611074,FDRL/INTERNAL FUND TRANSFE,,200000.00,1237994.00,2023-11-19
409000611074,INDO GIBL Indiaforensic STL14081,561995.00,,1238155.00,2023-02-01
409000425051,NEFT/CBINH16132151302/Mr.,,1000.00,919577.60,2022-06-28
409000425051,NEFT/N244160182458867/SMA,,12000.00,918578.60,2023-03-23
409000493201,BBPS DT 08072018,29077.09,,1239247.53,2023-12-26
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1239882.33,2023-01-30
409000611074,Indfor INCOME INDO REMI08011,3720.00,,1240237.00,2022-09-09
409000493201,BBPS SETMNT FOR DT 060120,115908.12,,1240366.07,2023-08-10
409000493201,BBPS DT 25042018,188141.79,,1240627.66,2023-04-12
409000493201,BBPS DT 05032018,77952.12,,1240822.08,2023-05-19
409000493201,BBPS SETMNT FOR DT 050220,70066.41,,1241068.51,2023-08-03
409000425051,NEFT/SBIN216127966232/RAV,,20994.28,918577.60,2023-07-24
409000493201,TRF FROM  Indiaforensic SERVICES,,500000.00,1242038.63,2023-03-15
409000493201,BBPS DT 05122008,,315346.66,1242345.42,2023-08-19
409000493201,TRF TO  Indiaforensic SERVICES I,500000.00,,1242345.42,2022-10-15
409000611074,Indfor INCOME INDO REMI03091,1920.00,,1242403.00,2022-08-15
409000425051,BDP IS 6095,,3000.00,915582.85,2022-10-04
409000611074,Indfor INCOME INDO REMI14011,3600.00,,1243505.00,2022-09-12
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1243588.00,2023-03-23
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1243957.00,2022-08-17
409000425051,BDP IS 6095,,2000.00,915573.85,2022-10-25
409000611074,INDO GIBL Indiaforensic STL02091,9800.00,,1244323.00,2023-04-16
409000611074,Indfor INCOME INDO REMI12091,1800.00,,1244478.00,2022-12-26
409000611074,INDO GIBL Indiaforensic STL06061,217075.00,,1244782.00,2022-05-21
409000425051,BDP IS 6095,,5000.00,913573.85,2023-10-23
409000611074,INDO GIBL Indiaforensic STL01081,145500.00,,1245961.00,2023-05-20
409000611074,INDO GIBL Indiaforensic STL11091,776577.00,,1246278.00,2023-10-07
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,1246517.99,2023-06-11
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1246620.71,2023-11-29
409000425051,BDP IS 6095,,5000.00,912582.85,2022-05-08
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1247105.00,2022-08-23
409000493201,BBPS SETMNT FOR DT 311020,148633.99,,1248227.57,2022-12-06
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1248682.00,2022-01-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1249415.56,2023-08-23
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1250037.00,2022-02-26
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1250500.80,2022-06-09
409000425051,BDP IS 6095,,3000.00,908573.85,2022-02-28
409000611074,INDO GIBL Indiaforensic STL27021,182450.00,,1251116.00,2023-06-04
409000425051,BDP IS 6095,,3000.00,907582.85,2023-02-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1253322.06,2023-11-24
409000425051,NEFT/SBIN216243317496/ASH,,20000.00,906578.60,2022-12-30
409000425051,BDP IS 6095,,5000.00,905573.85,2022-10-01
409000425051,BDP IS 6095,,5000.00,904582.85,2023-04-29
409000493201,BBPS DT 14062018,39815.49,,1253673.46,2022-09-08
409000611074,Indfor INCOME INDO REMI19071,1440.00,,1253690.00,2023-07-23
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1253777.00,2022-10-30
409000493201,TRF FRM  Indiaforensic SERVICES,,500000.00,1253795.83,2023-02-13
409000611074,Indfor INCOME INDO REMI02091,120.00,,1254123.00,2022-06-15
409000611074,INDO GIBL Indiaforensic STL01091,236300.00,,1254243.00,2022-04-06
409000493201,BBPS DT 17062018,,43963.21,1254481.98,2022-02-10
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1254645.00,2022-01-16
409000425051,BDP IS 6095,,2000.00,900573.85,2022-10-03
409000611074,INDO GIBL Indiaforensic STL18071,663350.00,,1255130.00,2022-10-12
409000493201,BBPS SETMNT FOR DT 280820,292705.76,,1255573.45,2023-01-08
409000611074,Indfor INCOME INDO REMI18091,3720.00,,1256037.00,2023-07-27
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1256507.00,2022-11-10
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1256645.00,2022-08-16
409000493201,BBPS DT 02102018,,202370.40,1257179.99,2022-09-17
409000493201,BBPS DT 10062018,8112.82,,1258121.39,2023-08-14
409000611074,Indfor INCOME INDO REMI07101,480.00,,1258176.00,2022-12-04
409000425051,BDP IS 6095,,3000.00,899582.85,2023-12-08
409000425051,BDP IS 6095,,5000.00,898573.85,2023-03-23
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1258656.00,2023-06-01
409000611074,INDO GIBL Indiaforensic STL17091,546674.00,,1259757.00,2023-06-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,1259823.06,2022-11-13
409000425051,NEFT/BKIDN16126554823/NAS,,21000.00,897583.32,2023-03-21
409000493201,TRF FROM  Indiaforensic SERVICES,,500000.00,1260165.67,2023-10-15
409000425051,BDP IS 6095,,5000.00,896582.85,2022-09-21
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1261196.00,2023-04-29
409000425051,BDP IS 6095,,1.00,893573.85,2023-09-21
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1261826.00,2023-11-12
409000611074,INDO GIBL Indiaforensic STL19081,18000.00,,1262422.00,2022-06-15
409000611074,Indfor INCOME INDO REMI16111,3000.00,,1262637.00,2022-01-10
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1262650.00,2022-12-13
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1262927.00,2023-05-29
409000425051,BDP IS 6095,,3000.00,893572.85,2022-10-14
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1265464.89,2022-02-28
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1265637.00,2023-09-23
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1265931.57,2022-07-16
409000493201,BBPS DT 09062018,27920.62,,1266234.21,2023-08-16
409000425051,BDP IS 6095,,3000.00,891582.85,2022-09-09
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,1267228.69,2022-08-14
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1267377.90,2022-05-14
409000493201,BBPS DT 09072018,,67657.57,1268324.62,2023-06-05
409000611074,INDO GIBL Indiaforensic STL04011,222800.00,,1269473.00,2023-06-24
409000611074,Indfor INCOME INDO REMI30081,2280.00,,1269509.00,2022-03-20
409000425051,BDP IS 6095,,5000.00,890572.85,2022-01-05
409000493201,BBPS DT 16072018,,100682.10,1269620.16,2022-03-03
409000493201,BBPS SETMNT FOR DT 271220,175551.70,,1271069.01,2023-12-05
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1271687.00,2023-01-17
409000611074,INDO GIBL Indiaforensic STL29081,350585.00,,1271789.00,2022-11-17
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1273424.65,2023-02-13
409000425051,BDP IS 6095,,5000.00,888582.85,2022-02-07
409000611074,Indfor INCOME INDO REMI09121,360.00,,1275553.00,2022-11-18
409000611074,Indfor INCOME INDO REMI25081,720.00,,1275679.00,2023-04-02
409000611074,INDO GIBL Indiaforensic STL08121,240752.00,,1275913.00,2022-08-20
409000611074,INDO GIBL Indiaforensic STL24081,230300.00,,1276399.00,2022-12-31
409000493201,BBPS DT 08122018,,515462.82,1276858.01,2022-05-05
409000611074,INDO GIBL Indiaforensic STL16031,199983.00,,1277174.00,2022-10-16
409000425051,NEFT/SBIN216243251832/DHA,,20000.00,886578.60,2023-11-04
409000425051,BDP IS 6095,,3000.00,885572.85,2023-12-13
409000611074,FDRL/INTERNAL FUND TRANSFE,,300000.00,1277696.00,2023-12-07
409000611074,Indfor INCOME INDO REMI18011,1440.00,,1277850.00,2022-09-24
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1278007.00,2023-04-06
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1279290.00,2023-04-27
409000611074,FDRL/INTERNAL FUND TRANSFE,,400000.00,1279573.00,2023-03-01
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1280254.76,2023-03-19
409000611074,Indfor INCOME INDO REMI19081,360.00,,1280422.00,2023-01-20
409000425051,BDP IS 6095,,3000.00,883582.85,2023-09-28
409000611074,INDO GIBL Indiaforensic STL18081,262900.00,,1280782.00,2022-07-09
409000493201,BBPS DT 02032018,22018.40,,1282923.01,2022-03-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1283294.62,2022-06-02
409000425051,BDP IS 6095,,5000.00,882572.85,2022-02-13
409000425051,BDP IS 6095,,5000.00,880582.85,2023-05-28
409000493201,BBPS DT 13102018,,324167.89,1285985.86,2022-08-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1286845.52,2023-08-04
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1287416.00,2022-09-04
409000425051,BDP IS 6095,,1000.00,877572.85,2023-07-07
409000611074,INDO GIBL Indiaforensic STL11091,151550.00,,1288589.00,2023-04-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1290034.02,2023-01-17
409000611074,Indfor INCOME INDO REMI20121,2640.00,,1290185.00,2022-03-18
409000611074,INDO GIBL Indiaforensic STL18101,85000.00,,1290910.00,2022-02-05
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1291215.41,2023-05-06
409000611074,INDO GIBL Indiaforensic STL02061,402850.00,,1291807.00,2023-09-18
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1292825.00,2022-01-03
409000493201,BBPS SETMNT FOR DT 181220,216222.65,,1293152.24,2023-06-30
409000493201,BBPS DT 13062018,16905.35,,1293488.95,2023-09-16
409000425051,NEFT/SBIN116116210635/PAD,,21000.00,876583.32,2023-10-12
409000611074,FDRL/INTERNAL FUND TRANSFE,,400000.00,1293943.00,2022-07-21
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,1294154.83,2022-11-01
409000611074,Indfor INCOME INDO REMI29091,2040.00,,1295247.00,2022-08-12
409000493201,BBPS SETMNT FOR DT 080820,12646.88,,1295539.38,2023-12-31
409000493201,BBPS DT 24082018,,65456.40,1295714.58,2023-04-12
409000425051,NEFT/CBINH16313A08810/JIT,,12000.00,876572.85,2023-06-04
409000611074,INDO GIBL Indiaforensic STL22041,92900.00,,1296268.00,2023-10-07
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1297287.00,2023-09-28
409000611074,INDO GIBL Indiaforensic STL05021,138350.00,,1297345.00,2023-10-27
409000611074,INDO GIBL Indiaforensic STL26031,259150.00,,1297484.00,2022-04-29
409000611074,INDO GIBL Indiaforensic STL29061,176050.00,,1297576.00,2023-06-21
409000493201,BBPS DT 11102018,,242343.57,1297996.01,2023-11-23
409000425051,NEFT/1091242044/SANWARIYA,,25500.00,875582.85,2022-01-16
409000611074,INDO GIBL Indiaforensic STL09051,365625.00,,1298695.00,2022-05-05
409000493201,TRF FROM  Indiaforensic SERVICES,,300000.00,1299331.88,2023-11-03
409000493201,BBPS SETMNT FOR DT 090012,165694.99,,1300236.58,2023-01-12
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,1300447.00,2022-01-19
409000425051,NEFT/BKIDN16242200003/PRA,,12000.00,866578.60,2022-12-29
409000425051,BDP IS 6095,,1000.00,864572.85,2022-08-06
409000611074,INDO GIBL Indiaforensic STL02071,282208.00,,1301758.00,2022-07-19
409000425051,NEFT/SAA37986382/JITENDRA,,1000.00,863572.85,2023-10-09
409000425051,BDP IS 6095,,1000.00,862572.85,2022-04-29
409000611074,Indfor INCOME INDO REMI17071,3960.00,,1303980.00,2022-08-01
409000493201,BBPS DT 05052018,107985.24,,1304087.82,2022-11-05
409000425051,BDP IS 6095,,1000.00,861572.85,2022-02-23
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1304941.41,2023-09-19
409000493201,BBPS DT 16042018,76266.87,,1305309.15,2023-09-10
409000425051,NEFT/P16110447781189/UPEN,,12000.00,860572.85,2023-12-21
409000425051,NEFT/SD1293975857/JAI RAM,,1000.00,855583.32,2022-10-05
409000425051,NEFT/STBP916112924171/UNI,,1000.00,854583.32,2023-01-20
409000611074,INDO GIBL Indiaforensic STL29121,200550.00,,1307821.00,2022-06-25
409000493201,BBPS DT 14112008,,370836.70,1307919.12,2022-09-26
409000611074,FDRL/INTERNAL FUND TRANSFE,,200000.00,1307940.00,2023-07-18
409000493201,BBPS DT 18062018,,53656.53,1308138.51,2022-10-09
409000493201,BBPS SETMNT FOR DT 070820,126978.66,,1308186.26,2022-12-25
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,1309374.89,2022-08-10
409000425051,BDP IS 6095,,1000.00,854578.60,2022-11-09
409000425051,NEFT/BKIDN16111600591/KRI,,1000.00,853583.32,2022-04-22
409000611074,Indfor INCOME INDO REMI31101,1920.00,,1309607.00,2022-11-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,1309823.06,2022-02-25
409000493201,BBPS DT 12062018,29859.18,,1310394.30,2022-11-24
409000425051,NEFT/SBIN916238291478/Mr,,21000.00,853578.60,2023-12-24
409000493201,BBPS SETMNT FOR DT 030220,38505.91,,1311134.92,2023-09-06
